REGION,DISTRICT,YEAR,CROP,YIELD,SAVANNAH
NORTHERN ,West Mamprusi,2011,  COWPEA,1.43,
NORTHERN ,Yendi,2011,  COWPEA,2.78,
NORTHERN ,Zabzugu,2011,  COWPEA,1.65,
NORTHERN ,Tatale,2011,  COWPEA,1.65,
NORTHERN ,Bole,2012,MAIZE,1.38,
NORTHERN ,Bunkpurugu Yonyo,2012,MAIZE,1.34,
NORTHERN ,Central Gonja,2012,MAIZE,1.45,
NORTHERN ,East Gonja,2012,MAIZE,1.62,
NORTHERN ,Kpandai,2012,MAIZE,1.63,
NORTHERN ,East Mamprusi,2012,MAIZE,1.1,
NORTHERN ,Gushiegu,2012,MAIZE,1.54,
NORTHERN ,Karaga,2012,MAIZE,1.57,
NORTHERN ,Nanumba North,2012,MAIZE,1.54,
NORTHERN ,Nanumba South,2012,MAIZE,1.67,
NORTHERN ,Saboba,2012,MAIZE,1.48,
NORTHERN ,Chereponi,2012,MAIZE,1.42,
NORTHERN ,Savelugu Nanton,2012,MAIZE,1.3,
NORTHERN ,Sawla/Tuna/Kalba,2012,MAIZE,1.95,
NORTHERN ,Tamale Metro,2012,MAIZE,1.28,
NORTHERN ,Tolon,2012,MAIZE,1.5,
NORTHERN ,Kumbungu,2012,MAIZE,1.5,
NORTHERN ,West Gonja,2012,MAIZE,1.34,
NORTHERN ,West Mamprusi,2012,MAIZE,1.46,
NORTHERN ,Yendi,2012,MAIZE,1.51,
NORTHERN ,Zabzugu,2012,MAIZE,1.5,
NORTHERN ,Tatale,2012,MAIZE,1.5,
NORTHERN ,Bole,2012,GROUNDNUT,1.39,
NORTHERN ,Bunkpurugu Yonyo,2012,GROUNDNUT,1.24,
NORTHERN ,Central Gonja,2012,GROUNDNUT,1.25,
NORTHERN ,East Gonja,2012,GROUNDNUT,2.6,
NORTHERN ,Kpandai,2012,GROUNDNUT,1.95,
NORTHERN ,East Mamprusi,2012,GROUNDNUT,1.7,
NORTHERN ,Gushiegu,2012,GROUNDNUT,1.69,
NORTHERN ,Karaga,2012,GROUNDNUT,1.65,
NORTHERN ,Nanumba North,2012,GROUNDNUT,1.72,
NORTHERN ,Nanumba South,2012,GROUNDNUT,1.45,
NORTHERN ,Saboba,2012,GROUNDNUT,1.7,
NORTHERN ,Chereponi,2012,GROUNDNUT,1.52,
